Repository Name,Description
ArcGIS Online,"Esri cloud platform for hosting maps, feature layers, and web apps"
Arctic Data Center,NSF-funded repository for Arctic research data
Avian Knowledge Network,Distributed network of bird observation databases
eBird,Cornell Lab of Ornithology's global bird observation database
FWS InsideMaps,Internal USFWS mapping and GIS data platform
GeoPlatform,Federal geospatial data catalog (geoplatform.gov)
USFWS GitHub,USFWS affiiated software repository
MoveBank,Animal tracking and movement data repository
USFWS ServCat,USFWS Service Catalog - required for Refuge data preservation
USGS ScienceBase,USGS data and metadata clearinghouse
Other,Use for any repository not listed above
